Dataset Name,Dataset Source/Creator,Link to Dataset,Country,State,Temporal Resolution,Temporal range - Start,Temporal range - End,Spatial Resolution,Description,Keywords
UNRATE,U.S. Bureau of Labor,https://data.bls.gov/timeseries/LNS14000000,United States of America,-,month,Jan 1948,Apr 2020,country,"Unemployment Rate in USA","unemployment rate"
Unemployment Insurance initial claims,U.S. Employment and Training Administration,https://fred.stlouisfed.org/series/ICSA,United States of America,-,week,Jan 28 1967,Apr 18 2020,country,"Unemployment Insurance initial claims, data reorganized by FRED","unemployment"
Industrial Production Index,Board of Governors of the Federal Reserve System,https://fred.stlouisfed.org/series/INDPRO,United States of America,-,month,Jan 1919,Mar 2020,country,"an economic indicator published by the Federal Reserve Board of the United States that measures the real production output of manufacturing, mining, and utilities, , data reorganized by FRED","production"
COVID-19 Finance Sector Related Policy Responses,The World Bank,https://datacatalog.worldbank.org/dataset/covid-19-finance-sector-related-policy-responses,World,-,day,Feb 1 2020,Apr 21 2020,country ,"A summary of policy measures taken by country and type of measure in support of the financial sector amid the COVID-19 pandemic","world, policy"
Symbols of All Companies,eoddata,http://eoddata.com/symbols.aspx,World,-,day,-,-,other,"A list of symbols of every company in every stack market","stock, market, symbols"
Symbols of Stock Market,nasdaqtrader,http://www.nasdaqtrader.com/trader.aspx?id=symboldirdefs,World,-,day,-,-,other,"List of symbols used in stock market data presentation","stock, market, symbols"
Company Info,NASDAQ,https://www.nasdaq.com/market-activity/stocks/screener,World,-,day,-,-,other,"Basic stock info of companies in NASDAQ","stock, company info, NASDAQ"
Company Info,NASDAQ,https://old.nasdaq.com/screening/company-list.aspx,World,-,day,-,-,other,"Stock info of companies in NASDAQ and NYSE and AMEX","stock, company info"
Company Info,NASDAQ,https://old.nasdaq.com/screening/companies-by-industry.aspx?render=download,World,-,day,-,-,other,"Stock info with industry data of companies in NASDAQ and NYSE and AMEX","stock, company info"
NASDAQ Company List with Status,nasdaqtrader,http://ftp.nasdaqtrader.com/dynamic/SymDir/nasdaqlisted.txt,World,-,other,-,-,other,"NASDAQ company list with status like financial status and round lot size","stock, company list"
Other Company List with Status,nasdaqtrader,http://ftp.nasdaqtrader.com/dynamic/SymDir/otherlisted.txt,World,-,other,-,-,other,"Other company list with status like financial status and round lot size","stock, company list"
Full Company History,Yahoo,https://finance.yahoo.com,World,-,other,-,-,other,"All companies and their full history stock data","stock, company list, history data"
USO,NASDAQ,https://www.nasdaq.com/market-activity/funds-and-etfs/uso/historical,United States of America,-,day,Apr 27 2010,Current,other,"History data of United States Oil Fund","oil fund"
USL,NASDAQ,https://www.nasdaq.com/market-activity/funds-and-etfs/usl/historical,United States of America,-,day,Apr 27 2010,Current,other,"History data of The United States 12 Month Oil Fund","oil fund"
IXIC,NASDAQ,https://www.nasdaq.com/market-activity/index/ixic,United States of America,-,minute,Apr 27 2010,Current,other,"NASDAQ Composite","index"
COMP,NASDAQ,https://www.nasdaq.com/market-activity/index/comp,United States of America,-,minute,Apr 27 2010,Current,other,"NASDAQ Composite Index","index"
NYA,NASDAQ,https://www.nasdaq.com/market-activity/index/nya,United States of America,-,minute,Apr 27 2010,Current,other,"NYSE Composite","index"
SPX,NASDAQ,https://www.nasdaq.com/market-activity/index/spx/historical,United States of America,-,minute,Apr 27 2010,Current,other,"S&P 500 Index","index"
RUT,NASDAQ,https://www.nasdaq.com/market-activity/index/rut https://finance.yahoo.com/quote/%5ERUT/history?period1=1429574400&period2=1587427200&interval=1d&filter=history&frequency=1d,United States of America,-,minute,Apr 27 2010,Current,other,"RUSSELL 2000 Index","index"
NDX,NASDAQ,https://www.nasdaq.com/market-activity/index/ndx https://finance.yahoo.com/quote/%5ENDX/history?period1=1429574400&period2=1587427200&interval=1d&filter=history&frequency=1d,United States of America,-,minute,Apr 27 2010,Current,other,"NASDAQ-100 Index","index"
NDXT,NASDAQ,https://www.nasdaq.com/market-activity/index/ndxt,United States of America,-,minute,Apr 27 2010,Current,other,"NASDAQ-100 Technology Index","index"
NDXX,NASDAQ,https://www.nasdaq.com/market-activity/index/ndxx,United States of America,-,minute,Apr 27 2010,Current,other,"NASDAQ-100 Ex-Tech Index","index"
DJI,NASDAQ,https://finance.yahoo.com/quote/%5EDJI/history/,United States of America,-,minute,Apr 27 2010,Current,other,"Dow Jones Industrial Average","index"
VIX,NASDAQ,https://finance.yahoo.com/quote/%5EVIX/history?p=%5EVIX,United States of America,-,minute,Apr 27 2010,Current,other,"CBOE Volatility Index","index"
Commodities-Metals,NASDAQ,https://www.nasdaq.com/market-activity/commodities,United States of America,-,day,Apr 27 2010,Current,other,"Metal price history, including Gold, Silver, Platinum and Palladium","medal price"
Commodities-Energies,NASDAQ,https://www.nasdaq.com/market-activity/commodities,United States of America,-,day,Apr 27 2010,Current,other,"Price history of energy supplies, including crude oil, brent crude, heating oil RBOB Gasoline, natural gas and CBOT Eethanol","energy commodity price"
Commodities-Grains,NASDAQ,https://www.nasdaq.com/market-activity/commodities,United States of America,-,day,Apr 27 2010,Current,other,"Price history data of grain products, including wheat, corn, soybean, oat, rough rice and red wheat","grain price"
Commodities-Meats,NASDAQ,https://www.nasdaq.com/market-activity/commodities,United States of America,-,day,Apr 27 2010,Current,other,"Price history data of meat, including data for live cattle, feeder cattle, lean hogs and milk","meat price"
Commodities-Softs,NASDAQ,https://www.nasdaq.com/market-activity/commodities,United States of America,-,day,Apr 27 2010,Current,other,"Price history of products of cotton, sugar, coffe, cocoa and lumber","soft commodity price"
Cryptocurrencies,NASDAQ,https://www.nasdaq.com/market-activity/cryptocurrency,United States of America,-,day,Apr 27 2010,Current,other,"Price history of 20 mainstream crypto currencies","cryptocurrencies"
Currencies,NASDAQ,https://www.nasdaq.com/market-activity/currencies/usdjpy/historical,World,-,day,Apr 27 2010,Current,other,"Exchange rate of mainstream currencies to US Dollar","exchange rate"
COVID-19 confirmed,JHU CSSE,https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_time_series,World,-,day,Jan 22 2020,Current,country ,"World time series data of confirmed cases of COVID-19 around the world","COVID-19 data"